"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[0, 0, 'Header', 1, 5, 960]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[1, 0, 'Start_track']"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[1, 0, 'Time_signature', 4, 2, 24, 8]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[1, 0, 'Key_signature', 2, '""major""']"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[1, 0, 'Tempo', 1000000]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[1, 0, 'Copyright_t', '""Direitos autorais © ""']"
"[3, 4]","[1.0, 80.0]",2,1.0,4.0,"[1, 3840, 'Tempo', 1000000]"
"[3, 4]","[1.0, 80.0]",2,1.0,4.0,"[1, 3840, 'Tempo', 750000]"
"[3, 4]","[1.0, 80.0]",2,1.0,4.0,"[1, 3840, 'Time_signature', 3, 2, 24, 8]"
"[3, 8]","[1.5, 93.33]",3,1.0,7.0,"[1, 6720, 'Tempo', 750000]"
"[3, 8]","[1.5, 93.33]",3,1.0,7.0,"[1, 6720, 'Tempo', 428571]"
"[3, 8]","[1.5, 93.33]",3,1.0,7.0,"[1, 6720, 'Time_signature', 3, 3, 36, 8]"
"[3, 8]","[1.5, 16.67]",4,2.0,11.0,"[1, 8640, 'Tempo', 2400000]"
"[3, 8]","[1.5, 40.0]",5,2.5,14.5,"[1, 10320, 'Tempo', 1000000]"
"[4, 4]","[1.5, 40.0]",7,1.0,19.0,"[1, 12480, 'Tempo', 1000000]"
"[4, 4]","[1.5, 40.0]",7,1.0,19.0,"[1, 12480, 'Time_signature', 4, 2, 24, 8]"
"[4, 4]","[1.5, 40.0]",7,1.0,19.001041666666666,"[1, 12481, 'End_track']"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[2, 0, 'Start_track']"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[2, 0, 'Program_c', 0, 0]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[2, 0, 'Control_c', 0, 121, 0]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[2, 0, 'Control_c', 0, 64, 0]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[2, 0, 'Control_c', 0, 91, 48]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[2, 0, 'Control_c', 0, 10, 63]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[2, 0, 'Control_c', 0, 7, 100]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[2, 0, 'Title_t', '""Piano""']"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[2, 0, 'Note_on_c', 0, 73, 81]"
"[3, 4]","[1.0, 80.0]",2,1.0,4.0,"[2, 3840, 'Note_off_c', 0, 73, 0]"
"[3, 4]","[1.0, 80.0]",2,1.0,4.0,"[2, 3840, 'Note_on_c', 0, 71, 81]"
"[3, 4]","[1.0, 80.0]",2,3.0,6.0,"[2, 5760, 'Note_off_c', 0, 71, 0]"
"[3, 4]","[1.0, 80.0]",2,3.0,6.0,"[2, 5760, 'Note_on_c', 0, 69, 76]"
"[3, 8]","[1.5, 93.33]",3,1.0,7.0,"[2, 6720, 'Note_off_c', 0, 69, 0]"
"[3, 8]","[1.5, 93.33]",3,1.0,7.0,"[2, 6720, 'Note_on_c', 0, 67, 84]"
"[3, 8]","[1.5, 93.33]",3,2.0,8.0,"[2, 7200, 'Note_off_c', 0, 67, 0]"
"[3, 8]","[1.5, 93.33]",3,2.0,8.0,"[2, 7200, 'Note_on_c', 0, 66, 77]"
"[3, 8]","[1.5, 93.33]",4,1.0,10.0,"[2, 8160, 'Note_off_c', 0, 66, 0]"
"[3, 8]","[1.5, 93.33]",4,1.0,10.0,"[2, 8160, 'Note_on_c', 0, 64, 77]"
"[3, 8]","[1.5, 16.67]",4,2.0,11.0,"[2, 8640, 'Note_off_c', 0, 64, 0]"
"[3, 8]","[1.5, 16.67]",4,3.0,12.0,"[2, 9120, 'Note_on_c', 0, 62, 75]"
"[3, 8]","[1.5, 16.67]",4,3.5,12.5,"[2, 9360, 'Note_off_c', 0, 62, 0]"
"[3, 8]","[1.5, 16.67]",4,3.5,12.5,"[2, 9360, 'Note_on_c', 0, 64, 77]"
"[3, 8]","[1.5, 16.67]",5,1.0,13.0,"[2, 9600, 'Note_off_c', 0, 64, 0]"
"[3, 8]","[1.5, 16.67]",5,1.0,13.0,"[2, 9600, 'Note_on_c', 0, 66, 83]"
"[3, 8]","[1.5, 40.0]",5,3.0,15.0,"[2, 10560, 'Note_off_c', 0, 66, 0]"
"[3, 8]","[1.5, 40.0]",5,3.0,15.0,"[2, 10560, 'Note_on_c', 0, 71, 77]"
"[4, 4]","[1.5, 40.0]",7,1.0,19.0,"[2, 12480, 'Note_off_c', 0, 71, 0]"
"[4, 4]","[1.5, 40.0]",7,1.0,19.001041666666666,"[2, 12481, 'End_track']"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[3, 0, 'Start_track']"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[3, 0, 'Program_c', 1, 0]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[3, 0, 'Control_c', 1, 121, 0]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[3, 0, 'Control_c', 1, 64, 0]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[3, 0, 'Control_c', 1, 91, 48]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[3, 0, 'Control_c', 1, 10, 63]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[3, 0, 'Control_c', 1, 7, 100]"
"[4, 4]","[1.0, 60.0]",1,1.0,0.0,"[3, 0, 'Title_t', '""Piano""']"
"[3, 8]","[1.5, 16.67]",4,2.0,11.0,"[3, 8640, 'Note_on_c', 1, 50, 76]"
"[3, 8]","[1.5, 16.67]",5,2.0,14.0,"[3, 10080, 'Note_off_c', 1, 50, 0]"
"[3, 8]","[1.5, 16.67]",5,2.0,14.0,"[3, 10080, 'Note_on_c', 1, 52, 76]"
"[3, 8]","[1.5, 40.0]",5,2.5,14.5,"[3, 10320, 'Note_off_c', 1, 52, 0]"
"[3, 8]","[1.5, 40.0]",5,2.5,14.5,"[3, 10320, 'Note_on_c', 1, 54, 80]"
"[3, 8]","[1.5, 40.0]",5,3.0,15.0,"[3, 10560, 'Note_off_c', 1, 54, 0]"
"[3, 8]","[1.5, 40.0]",5,3.0,15.0,"[3, 10560, 'Note_on_c', 1, 55, 79]"
"[4, 4]","[1.5, 40.0]",7,1.0,19.0,"[3, 12480, 'Note_off_c', 1, 55, 0]"
"[4, 4]","[1.5, 40.0]",7,1.0,19.0,"[3, 12480, 'Note_on_c', 1, 57, 81]"
"[4, 4]","[1.5, 40.0]",7,2.0,20.0,"[3, 13440, 'Note_off_c', 1, 57, 0]"
"[4, 4]","[1.5, 40.0]",7,2.0,20.0,"[3, 13440, 'Note_on_c', 1, 59, 77]"
"[4, 4]","[1.5, 40.0]",7,3.0,21.0,"[3, 14400, 'Note_off_c', 1, 59, 0]"
"[4, 4]","[1.5, 40.0]",7,4.0,22.0,"[3, 15360, 'Note_on_c', 1, 59, 76]"
"[4, 4]","[1.5, 40.0]",8,1.0,23.0,"[3, 16320, 'Note_off_c', 1, 59, 0]"
"[4, 4]","[1.5, 40.0]",8,1.0,23.0,"[3, 16320, 'Note_on_c', 1, 64, 82]"
"[4, 4]","[1.5, 40.0]",8,2.0,24.0,"[3, 17280, 'Note_off_c', 1, 64, 0]"
"[4, 4]","[1.5, 40.0]",8,2.0,24.0,"[3, 17280, 'Note_on_c', 1, 59, 75]"
"[4, 4]","[1.5, 40.0]",8,3.0,25.0,"[3, 18240, 'Note_off_c', 1, 59, 0]"
"[4, 4]","[1.5, 40.0]",8,3.0,25.0,"[3, 18240, 'Note_on_c', 1, 60, 79]"
